,Sprint,Encargado,Historia de Usuario,N° Actividad,Actividad,Inicio,Días,Final,,,
,,Ingeniero de calidad de software,,Actividad 6.4,Pruebas de visualización con datos de muestra.,9/10/2024,1,9/11/2024,,,
,,Product Owner,N/A,Actividad 7,Refinamiento del Backlog para el Siguiente Sprint,9/30/2024,1,10/1/2024,,,
,,Product Owner,N/A,Actividad 8,Minuta de Review y Retrospectiva,9/30/2024,1,10/1/2024,,,
,,,,Fin Sprint 1,,9/2/2024,29,10/1/2024,,,
,2,Product Owner,N/A,Actividad 9,Refinamiento del Sprint Backlog.,10/1/2024,1,10/2/2024,,,
,,Diseñador UX,2,Actividad 10.1,Diseño del formulario.,10/14/2024,1,10/15/2024,,,
,,Ingeniero de software,,Actividad 10.2,Implementación de campos de texto y controles.,10/21/2024,1,10/22/2024,,,
,,Arquitecto de software,,Actividad 10.3,Integración del formulario con la base de datos.,11/8/2024,2,11/10/2024,,,
,,Ingeniero de calidad de software,,Actividad 10.4,"Validación de entrada de datos (formato, obligatoriedad).",11/8/2024,3,11/11/2024,,,
,,Ingeniero de calidad de software,,Actividad 10.5,Pruebas del formulario y corrección de errores.,11/8/2024,1,11/9/2024,,,
,,Arquitecto de software,5,Actividad 11.1,Identificación de los diferentes tipos de certificados.,10/29/2024,1,10/30/2024,,,
,,Diseñador UX,,Actividad 11.2,Diseño del botón y menús desplegables para la selección.,10/29/2024,2,10/31/2024,,,
,,Ingeniero de software,,Actividad 11.3,Implementación del botón en la interfaz.,10/29/2024,3,11/1/2024,,,
,,Product Owner,,Actividad 11.4,Vinculación con la base de datos para seleccionar los tipos de certificados.,10/29/2024,4,11/2/2024,,,
,,Arquitecto de software,10,Actividad 18.1,"Definición del formato de archivo aceptado (CSV, Excel, etc.).",10/28/2024,1,10/29/2024,,,
,,Diseñador UX,,Actividad 18.2,Diseño de la interfaz para cargar archivos.,10/29/2024,1,10/30/2024,,,
,,Product Owner,,Actividad 18.3,Implementación de la funcionalidad para leer y procesar los datos del archivo.,11/4/2024,2,11/6/2024,,,
,,Ingeniero de calidad de software,,Actividad 18.4,"Validación de los datos antes de su inserción en la base de datos (formato, obligatoriedad).",11/5/2024,1,11/6/2024,,,
,,Scrum Master,,Actividad 18.5,Integración con la base de datos para la inserción masiva de datos.,11/9/2024,3,11/12/2024,,,
,,Diseñador UX,8,Actividad 12.1,Diseño de la interfaz para modificar los datos existentes.,1/21/1900,1,1/22/1900,,,
,,Ingeniero de software,,Actividad 12.2,Implementación de la funcionalidad para modificar los datos existentes.,10/21/2024,4,10/25/2024,,,
,,Product Owner,,Actividad 12.3,Validación de cambios y control de versiones de los datos editados.,10/22/2024,2,10/24/2024,,,
,,Arquitecto de software,,Actividad 12.4,Integración con la base de datos para actualizar la información.,10/22/2024,3,10/25/2024,,,
,,Ingeniero de calidad de software,,Actividad 12.5,Pruebas de la funcionalidad de edición y corrección de errores.,10/28/2024,1,10/29/2024,,,
,,Ingeniero de calidad de software,,Actividad 12.6,Aseguramiento de la seguridad en la edición de datos sensibles.,10/29/2024,2,10/31/2024,,,
,,Product Owner,N/A,Actividad 13,Refinamiento del Backlog para el Siguiente Sprint,11/14/2024,1,11/15/2024,,,
,,Product Owner,N/A,Actividad 14,Minuta de Review y Retrospectiva,11/15/2024,1,11/16/2024,,,
,,,,Fin Sprint 2,,10/1/2024,42,11/12/2024,,,
,3,Product Owner,N/A,Actividad 15,Refinamiento del Sprint Backlog.,11/12/2024,1,11/13/2024,,,
,,Product Owner,7,Actividad 16.1,"Implementación de la funcionalidad para generar el certificado en formato descargable (PDF, etc.).",11/18/2024,3,11/21/2024,,,
,,Ingeniero de software,,Actividad 16.2,Integración del botón con el backend para la generación del archivo.,11/18/2024,3,11/21/2024,,,
,,Product Owner,,Actividad 16.3, Implementación de opciones de formato y personalización del certificado.,11/19/2024,2,11/21/2024,,,
,,Ingeniero de calidad de software,,Actividad 16.4," Pruebas de descarga para diferentes casos (tamaños de archivo, formatos).",11/19/2024,1,11/20/2024,,,
,,Ingeniero de calidad de software,,Actividad 16.5, Aseguramiento de la compatibilidad con diferentes navegadores y dispositivos.,11/19/2024,2,11/21/2024,,,
,,Ingeniero de software,9,Actividad 17.6,Implementación de la funcionalidad para enviar certificados como adjuntos de correo electrónico.,11/25/2024,2,11/27/2024,,,
,,Diseñador UX,,Actividad 17.7,Diseño de plantillas de correo con el certificado adjunto.,11/25/2024,1,11/26/2024,,,
,,Ingeniero de software,,Actividad 17.8,Integración con la base de datos para obtener direcciones de correo de los alumnos.,11/26/2024,3,11/29/2024,,,
,,Diseñador UX,6,Actividad 11.5,Diseño de la interfaz para la previsualización del certificado.,11/15/2024,1,11/16/2024,,,
,,Scrum Master,,Actividad 11.6,Implementación de la funcionalidad para generar una vista previa del certificado.,11/15/2024,3,11/18/2024,,,
,,Ingeniero de calidad de software,N/A,Actividad 19.1,Definición de criterios de calidad y estándares para la inspección.,12/3/2024,1,12/4/2024,,,
,,Ingeniero de calidad de software,N/A,Actividad 19.2,Revisión del código para asegurar adherencia a los estándares de codificación.,12/3/2024,1,12/4/2024,,,
,,Ingeniero de calidad de software,N/A,Actividad 19.3,Ejecución de pruebas unitarias y de integración para todas las funcionalidades implementadas.,12/9/2024,1,12/10/2024,,,
,,Ingeniero de calidad de software,N/A,Actividad 19.4,Revisión de la documentación técnica y del usuario.,12/9/2024,2,12/11/2024,,,
,,Ingeniero de calidad de software,N/A,Actividad 19.5,Realización de pruebas de rendimiento y seguridad en el sistema.,12/9/2024,1,12/10/2024,,,
,,Diseñador UX,N/A,Actividad 19.6,Documentación de los hallazgos y recomendaciones para mejoras.,12/10/2024,3,12/13/2024,,,
,,Scrum Master,N/A,Actividad 20,Corrección de errores críticos identificados durante la inspección.,12/10/2024,2,12/12/2024,,,
,,,,,,,,,,,
